pdb_id	x	y	cluster	pdb	chain	arch_name	x_name
1DP0_B	18.053726	7.8009133	2	1dp0	B	beta sandwiches	Glycosyl hydrolase domain-like
1DP0_B	18.053726	7.8009133	2	1dp0	B	beta sandwiches	Immunoglobulin-like beta-sandwich
1DP0_B	18.053726	7.8009133	2	1dp0	B	a/b barrels	TIM beta/alpha-barrel
1DP0_B	18.053726	7.8009133	2	1dp0	B	beta sandwiches	jelly-roll
1DP0_C	18.084982	7.917047	2	1dp0	C	beta sandwiches	Glycosyl hydrolase domain-like
1DP0_C	18.084982	7.917047	2	1dp0	C	beta sandwiches	Immunoglobulin-like beta-sandwich
1DP0_C	18.084982	7.917047	2	1dp0	C	a/b barrels	TIM beta/alpha-barrel
1DP0_C	18.084982	7.917047	2	1dp0	C	beta sandwiches	jelly-roll
1DP0_D	17.970005	7.7695947	2	1dp0	D	beta sandwiches	Glycosyl hydrolase domain-like
1DP0_D	17.970005	7.7695947	2	1dp0	D	beta sandwiches	Immunoglobulin-like beta-sandwich
1DP0_D	17.970005	7.7695947	2	1dp0	D	a/b barrels	TIM beta/alpha-barrel
1DP0_D	17.970005	7.7695947	2	1dp0	D	beta sandwiches	jelly-roll
1DUC_A	-41.265312	20.587608	0	1duc	A	beta barrels	beta-clip
1DUD_A	-23.489363	28.83396	0	1dud	A	beta barrels	beta-clip
1DUN_A	-36.604813	32.18718	0	1dun	A	beta barrels	beta-clip
1DUP_A	-23.48189	28.822803	0	1dup	A	beta barrels	beta-clip
1DUT_A	-42.92325	20.38842	0	1dut	A	beta barrels	beta-clip
1DUT_B	-42.03105	19.283304	0	1dut	B	beta barrels	beta-clip
1E7P_A	19.719606	-43.25625	6	1e7p	A	a+b complex topology	NO_X_NAME
1E7P_A	19.719606	-43.25625	6	1e7p	A	a/b three-layered sandwiches	Rossmann-like
1E7P_A	19.719606	-43.25625	6	1e7p	A	alpha bundles	Spectrin repeat-like
1E7P_B	38.40426	-9.179255	1	1e7p	B	a+b two layers	beta-Grasp
1E7P_B	38.40426	-9.179255	1	1e7p	B	alpha arrays	alpha-helical ferredoxin-like
1E7P_C	-7.159397	-5.738602	8	1e7p	C	alpha bundles	NO_X_NAME
1E7P_D	19.719278	-43.257534	6	1e7p	D	a+b complex topology	NO_X_NAME
1E7P_D	19.719278	-43.257534	6	1e7p	D	a/b three-layered sandwiches	Rossmann-like
1E7P_D	19.719278	-43.257534	6	1e7p	D	alpha bundles	Spectrin repeat-like
1E7P_E	38.40424	-9.179242	1	1e7p	E	a+b two layers	beta-Grasp
1E7P_E	38.40424	-9.179242	1	1e7p	E	alpha arrays	alpha-helical ferredoxin-like
1E7P_F	-7.1583977	-5.738017	8	1e7p	F	alpha bundles	NO_X_NAME
1E7P_G	19.719286	-43.257534	6	1e7p	G	a+b complex topology	NO_X_NAME
1E7P_G	19.719286	-43.257534	6	1e7p	G	a/b three-layered sandwiches	Rossmann-like
1E7P_G	19.719286	-43.257534	6	1e7p	G	alpha bundles	Spectrin repeat-like
1E7P_H	38.40426	-9.17926	1	1e7p	H	a+b two layers	beta-Grasp
1E7P_H	38.40426	-9.17926	1	1e7p	H	alpha arrays	alpha-helical ferredoxin-like
1E7P_I	-7.1576834	-5.7385573	8	1e7p	I	alpha bundles	NO_X_NAME
1E7P_J	19.719639	-43.256435	6	1e7p	J	a+b complex topology	NO_X_NAME
1E7P_J	19.719639	-43.256435	6	1e7p	J	a/b three-layered sandwiches	Rossmann-like
1E7P_J	19.719639	-43.256435	6	1e7p	J	alpha bundles	Spectrin repeat-like
1E7P_K	38.404255	-9.179252	1	1e7p	K	a+b two layers	beta-Grasp
1E7P_K	38.404255	-9.179252	1	1e7p	K	alpha arrays	alpha-helical ferredoxin-like
1E7P_L	-7.1594424	-5.7385645	8	1e7p	L	alpha bundles	NO_X_NAME
1EU5_A	-23.656427	28.162746	0	1eu5	A	beta barrels	beta-clip
1EUW_A	-23.778925	28.363152	0	1euw	A	beta barrels	beta-clip
1F7D_A	-42.268986	20.110954	0	1f7d	A	beta barrels	beta-clip
1F7D_B	-42.708225	20.452852	0	1f7d	B	beta barrels	beta-clip
1F7K_A	-42.749496	19.855886	0	1f7k	A	beta barrels	beta-clip
1F7K_B	-42.911686	19.47057	0	1f7k	B	beta barrels	beta-clip
1F7N_A	-42.62373	20.55344	0	1f7n	A	beta barrels	beta-clip
1F7N_B	-42.032383	19.260448	0	1f7n	B	beta barrels	beta-clip
1F7O_A	-40.392994	18.256996	0	1f7o	A	beta barrels	beta-clip
1F7O_B	-40.872982	18.51847	0	1f7o	B	beta barrels	beta-clip
1F7O_C	-39.66955	17.801105	0	1f7o	C	beta barrels	beta-clip
1F7P_A	-41.245907	17.804604	0	1f7p	A	beta barrels	beta-clip
1F7P_B	-41.138927	18.892447	0	1f7p	B	beta barrels	beta-clip
1F7P_C	-39.962006	17.320028	0	1f7p	C	beta barrels	beta-clip
1F7Q_A	-41.275177	17.791971	0	1f7q	A	beta barrels	beta-clip
1F7Q_B	-40.18556	19.435677	0	1f7q	B	beta barrels	beta-clip
1F7Q_C	-39.425167	17.817026	0	1f7q	C	beta barrels	beta-clip
1F7R_A	-29.714487	26.577019	0	1f7r	A	beta barrels	beta-clip
1FC5_A	29.483984	3.7031245	1	1fc5	A	a/b three-layered sandwiches	NO_X_NAME
1FC5_A	29.483984	3.7031245	1	1fc5	A	beta barrels	beta-clip
1FC5_A	29.483984	3.7031245	1	1fc5	A	a+b complex topology	NO_X_NAME
1FC5_A	29.483984	3.7031245	1	1fc5	A	a+b two layers	NO_X_NAME
1FC5_B	28.687538	4.2227263	1	1fc5	B	a/b three-layered sandwiches	NO_X_NAME
1FC5_B	28.687538	4.2227263	1	1fc5	B	beta barrels	beta-clip
1FC5_B	28.687538	4.2227263	1	1fc5	B	a+b complex topology	NO_X_NAME
1FC5_B	28.687538	4.2227263	1	1fc5	B	a+b two layers	NO_X_NAME
1FF1_A	-52.45114	8.607723	3	1ff1	A	alpha arrays	EF-hand
1FF1_B	-52.734222	-24.463007	8	1ff1	B	UNK	UNK
1FPK_A	21.591871	11.552346	2	1fpk	A	a/b three-layered sandwiches	NO_X_NAME
1FPK_A	21.591871	11.552346	2	1fpk	A	a+b two layers	NO_X_NAME
1FPK_B	21.537775	11.441171	2	1fpk	B	a/b three-layered sandwiches	NO_X_NAME
1FPK_B	21.537775	11.441171	2	1fpk	B	a+b two layers	NO_X_NAME
1G1W_A	-16.758602	-10.072705	7	1g1w	A	a+b complex topology	NO_X_NAME
1G8L_A	29.320276	6.0723495	1	1g8l	A	a/b three-layered sandwiches	NO_X_NAME
1G8L_A	29.320276	6.0723495	1	1g8l	A	beta barrels	beta-clip
1G8L_A	29.320276	6.0723495	1	1g8l	A	a+b complex topology	NO_X_NAME
1G8L_A	29.320276	6.0723495	1	1g8l	A	a+b two layers	NO_X_NAME
1G8L_B	29.39214	5.783438	1	1g8l	B	a/b three-layered sandwiches	NO_X_NAME
1G8L_B	29.39214	5.783438	1	1g8l	B	beta barrels	beta-clip
1G8L_B	29.39214	5.783438	1	1g8l	B	a+b complex topology	NO_X_NAME
1G8L_B	29.39214	5.783438	1	1g8l	B	a+b two layers	NO_X_NAME
1G8R_A	28.361313	4.64924	1	1g8r	A	a/b three-layered sandwiches	NO_X_NAME
1G8R_A	28.361313	4.64924	1	1g8r	A	beta barrels	beta-clip
1G8R_A	28.361313	4.64924	1	1g8r	A	a+b complex topology	NO_X_NAME
1G8R_A	28.361313	4.64924	1	1g8r	A	a+b two layers	NO_X_NAME
1G8R_B	28.379837	4.88614	1	1g8r	B	a/b three-layered sandwiches	NO_X_NAME
1G8R_B	28.379837	4.88614	1	1g8r	B	beta barrels	beta-clip
1G8R_B	28.379837	4.88614	1	1g8r	B	a+b complex topology	NO_X_NAME
1G8R_B	28.379837	4.88614	1	1g8r	B	a+b two layers	NO_X_NAME
1GP8_A	-53.65499	-14.611396	8	1gp8	A	UNK	UNK
1GT8_A	39.989674	39.31217	9	1gt8	A	a/b barrels	TIM beta/alpha-barrel
1GT8_A	39.989674	39.31217	9	1gt8	A	alpha arrays	alpha-helical ferredoxin-like
1GT8_A	39.989674	39.31217	9	1gt8	A	a+b two layers	NO_X_NAME
1GT8_A	39.989674	39.31217	9	1gt8	A	a/b three-layered sandwiches	Rossmann-like
1GT8_B	42.87825	41.73076	9	1gt8	B	a/b barrels	TIM beta/alpha-barrel
1GT8_B	42.87825	41.73076	9	1gt8	B	alpha arrays	alpha-helical ferredoxin-like
1GT8_B	42.87825	41.73076	9	1gt8	B	a+b two layers	NO_X_NAME
1GT8_B	42.87825	41.73076	9	1gt8	B	a/b three-layered sandwiches	Rossmann-like
1GT8_C	43.118732	37.60407	9	1gt8	C	a/b barrels	TIM beta/alpha-barrel
1GT8_C	43.118732	37.60407	9	1gt8	C	alpha arrays	alpha-helical ferredoxin-like
1GT8_C	43.118732	37.60407	9	1gt8	C	a+b two layers	NO_X_NAME
1GT8_C	43.118732	37.60407	9	1gt8	C	a/b three-layered sandwiches	Rossmann-like
1GT8_D	42.765915	41.379463	9	1gt8	D	a/b barrels	TIM beta/alpha-barrel
1GT8_D	42.765915	41.379463	9	1gt8	D	alpha arrays	alpha-helical ferredoxin-like
1GT8_D	42.765915	41.379463	9	1gt8	D	a+b two layers	NO_X_NAME
1GT8_D	42.765915	41.379463	9	1gt8	D	a/b three-layered sandwiches	Rossmann-like
1GTE_A	43.814125	41.712143	9	1gte	A	a/b barrels	TIM beta/alpha-barrel
1GTE_A	43.814125	41.712143	9	1gte	A	alpha arrays	alpha-helical ferredoxin-like
1GTE_A	43.814125	41.712143	9	1gte	A	a+b two layers	NO_X_NAME
1GTE_A	43.814125	41.712143	9	1gte	A	a/b three-layered sandwiches	Rossmann-like
1GTE_B	43.737007	41.531788	9	1gte	B	a/b barrels	TIM beta/alpha-barrel
1GTE_B	43.737007	41.531788	9	1gte	B	alpha arrays	alpha-helical ferredoxin-like
1GTE_B	43.737007	41.531788	9	1gte	B	a+b two layers	NO_X_NAME
1GTE_B	43.737007	41.531788	9	1gte	B	a/b three-layered sandwiches	Rossmann-like
1GTE_C	42.11899	39.114586	9	1gte	C	a/b barrels	TIM beta/alpha-barrel
1GTE_C	42.11899	39.114586	9	1gte	C	alpha arrays	alpha-helical ferredoxin-like
1GTE_C	42.11899	39.114586	9	1gte	C	a+b two layers	NO_X_NAME
1GTE_C	42.11899	39.114586	9	1gte	C	a/b three-layered sandwiches	Rossmann-like
1GTE_D	40.562904	43.14831	9	1gte	D	a/b barrels	TIM beta/alpha-barrel
1GTE_D	40.562904	43.14831	9	1gte	D	alpha arrays	alpha-helical ferredoxin-like
1GTE_D	40.562904	43.14831	9	1gte	D	a+b two layers	NO_X_NAME
1GTE_D	40.562904	43.14831	9	1gte	D	a/b three-layered sandwiches	Rossmann-like
1GTH_A	37.78231	40.688007	9	1gth	A	a/b barrels	TIM beta/alpha-barrel
1GTH_A	37.78231	40.688007	9	1gth	A	alpha arrays	alpha-helical ferredoxin-like
1GTH_A	37.78231	40.688007	9	1gth	A	a+b two layers	NO_X_NAME
1GTH_A	37.78231	40.688007	9	1gth	A	a/b three-layered sandwiches	Rossmann-like
1GTH_B	41.20747	43.17162	9	1gth	B	a/b barrels	TIM beta/alpha-barrel
1GTH_B	41.20747	43.17162	9	1gth	B	alpha arrays	alpha-helical ferredoxin-like
1GTH_B	41.20747	43.17162	9	1gth	B	a+b two layers	NO_X_NAME
1GTH_B	41.20747	43.17162	9	1gth	B	a/b three-layered sandwiches	Rossmann-like
1GTH_C	40.75886	43.10318	9	1gth	C	a/b barrels	TIM beta/alpha-barrel
1GTH_C	40.75886	43.10318	9	1gth	C	alpha arrays	alpha-helical ferredoxin-like
1GTH_C	40.75886	43.10318	9	1gth	C	a+b two layers	NO_X_NAME
1GTH_C	40.75886	43.10318	9	1gth	C	a/b three-layered sandwiches	Rossmann-like
1GTH_D	37.316677	40.67226	9	1gth	D	a/b barrels	TIM beta/alpha-barrel
1GTH_D	37.316677	40.67226	9	1gth	D	alpha arrays	alpha-helical ferredoxin-like
1GTH_D	37.316677	40.67226	9	1gth	D	a+b two layers	NO_X_NAME
1GTH_D	37.316677	40.67226	9	1gth	D	a/b three-layered sandwiches	Rossmann-like
1H7W_A	38.700283	42.050457	9	1h7w	A	a/b barrels	TIM beta/alpha-barrel
1H7W_A	38.700283	42.050457	9	1h7w	A	alpha arrays	alpha-helical ferredoxin-like
1H7W_A	38.700283	42.050457	9	1h7w	A	a+b two layers	NO_X_NAME
1H7W_A	38.700283	42.050457	9	1h7w	A	a/b three-layered sandwiches	Rossmann-like
1H7W_B	38.435276	41.561226	9	1h7w	B	a/b barrels	TIM beta/alpha-barrel
1H7W_B	38.435276	41.561226	9	1h7w	B	alpha arrays	alpha-helical ferredoxin-like
1H7W_B	38.435276	41.561226	9	1h7w	B	a+b two layers	NO_X_NAME
1H7W_B	38.435276	41.561226	9	1h7w	B	a/b three-layered sandwiches	Rossmann-like
1H7W_C	39.131645	41.8201	9	1h7w	C	a/b barrels	TIM beta/alpha-barrel
1H7W_C	39.131645	41.8201	9	1h7w	C	alpha arrays	alpha-helical ferredoxin-like
1H7W_C	39.131645	41.8201	9	1h7w	C	a+b two layers	NO_X_NAME
1H7W_C	39.131645	41.8201	9	1h7w	C	a/b three-layered sandwiches	Rossmann-like
1H7W_D	38.006245	41.189934	9	1h7w	D	a/b barrels	TIM beta/alpha-barrel
1H7W_D	38.006245	41.189934	9	1h7w	D	alpha arrays	alpha-helical ferredoxin-like
1H7W_D	38.006245	41.189934	9	1h7w	D	a+b two layers	NO_X_NAME
1H7W_D	38.006245	41.189934	9	1h7w	D	a/b three-layered sandwiches	Rossmann-like
1H7X_A	38.86175	42.081738	9	1h7x	A	a/b barrels	TIM beta/alpha-barrel
1H7X_A	38.86175	42.081738	9	1h7x	A	alpha arrays	alpha-helical ferredoxin-like
1H7X_A	38.86175	42.081738	9	1h7x	A	a+b two layers	NO_X_NAME
1H7X_A	38.86175	42.081738	9	1h7x	A	a/b three-layered sandwiches	Rossmann-like
1H7X_B	38.409096	40.75933	9	1h7x	B	a/b barrels	TIM beta/alpha-barrel
1H7X_B	38.409096	40.75933	9	1h7x	B	alpha arrays	alpha-helical ferredoxin-like
1H7X_B	38.409096	40.75933	9	1h7x	B	a+b two layers	NO_X_NAME
1H7X_B	38.409096	40.75933	9	1h7x	B	a/b three-layered sandwiches	Rossmann-like
1H7X_C	38.68333	40.676395	9	1h7x	C	a/b barrels	TIM beta/alpha-barrel
1H7X_C	38.68333	40.676395	9	1h7x	C	alpha arrays	alpha-helical ferredoxin-like
1H7X_C	38.68333	40.676395	9	1h7x	C	a+b two layers	NO_X_NAME
1H7X_C	38.68333	40.676395	9	1h7x	C	a/b three-layered sandwiches	Rossmann-like
1H7X_D	38.181538	40.518818	9	1h7x	D	a/b barrels	TIM beta/alpha-barrel
1H7X_D	38.181538	40.518818	9	1h7x	D	alpha arrays	alpha-helical ferredoxin-like
1H7X_D	38.181538	40.518818	9	1h7x	D	a+b two layers	NO_X_NAME
1H7X_D	38.181538	40.518818	9	1h7x	D	a/b three-layered sandwiches	Rossmann-like
1J0J_A	40.745373	-12.645512	1	1j0j	A	a/b barrels	TIM beta/alpha-barrel
1J0J_A	40.745373	-12.645512	1	1j0j	A	beta sandwiches	Immunoglobulin-like beta-sandwich
1J0J_A	40.745373	-12.645512	1	1j0j	A	beta sandwiches	Glycosyl hydrolase domain-like
1J0J_B	40.74582	-12.638566	1	1j0j	B	a/b barrels	TIM beta/alpha-barrel
1J0J_B	40.74582	-12.638566	1	1j0j	B	beta sandwiches	Immunoglobulin-like beta-sandwich
1J0J_B	40.74582	-12.638566	1	1j0j	B	beta sandwiches	Glycosyl hydrolase domain-like
1J5S_A	11.66446	-18.416916	1	1j5s	A	a/b barrels	TIM beta/alpha-barrel
1J5S_B	11.646259	-18.418451	1	1j5s	B	a/b barrels	TIM beta/alpha-barrel
1J5S_C	11.624119	-18.42629	2	1j5s	C	a/b barrels	TIM beta/alpha-barrel
1JOY_A	-51.398476	-11.047881	8	1joy	A	alpha duplicates or obligate multimers	ROP-like
1JOY_B	-51.398926	-11.047814	8	1joy	B	alpha duplicates or obligate multimers	ROP-like
1JPI_A	3.6121895	-12.549473	1	1jpi	A	a/b barrels	TIM beta/alpha-barrel
1JTF_A	25.396395	1.0827205	1	1jtf	A	a/b three-layered sandwiches	Rossmann-like
1JWT_A	22.894419	4.8746004	2	1jwt	A	beta barrels	cradle loop barrel
1KA0_A	38.912243	-4.468542	1	1ka0	A	a/b three-layered sandwiches	NO_X_NAME
1KA0_A	38.912243	-4.468542	1	1ka0	A	a+b two layers	NO_X_NAME
1KDF_A	-60.6861	-2.9154677	3	1kdf	A	beta barrels	beta-clip
1KF6_A	22.511898	27.524426	2	1kf6	A	a+b complex topology	NO_X_NAME
1KF6_A	22.511898	27.524426	2	1kf6	A	a/b three-layered sandwiches	Rossmann-like
1KF6_A	22.511898	27.524426	2	1kf6	A	alpha bundles	Spectrin repeat-like
1KF6_B	24.21065	-1.9873872	1	1kf6	B	a+b two layers	beta-Grasp
1KF6_B	24.21065	-1.9873872	1	1kf6	B	alpha arrays	alpha-helical ferredoxin-like
1KF6_C	-26.332693	8.878549	8	1kf6	C	alpha bundles	NO_X_NAME
1KF6_D	-45.103203	10.358366	8	1kf6	D	alpha bundles	NO_X_NAME
1KF6_M	21.583054	28.041386	2	1kf6	M	a+b complex topology	NO_X_NAME
1KF6_M	21.583054	28.041386	2	1kf6	M	a/b three-layered sandwiches	Rossmann-like
1KF6_M	21.583054	28.041386	2	1kf6	M	alpha bundles	Spectrin repeat-like
1KF6_N	25.453379	-2.773323	1	1kf6	N	a+b two layers	beta-Grasp
1KF6_N	25.453379	-2.773323	1	1kf6	N	alpha arrays	alpha-helical ferredoxin-like
1KF6_O	-25.064024	6.4850497	8	1kf6	O	alpha bundles	NO_X_NAME
1KF6_P	-43.686146	10.280072	8	1kf6	P	alpha bundles	NO_X_NAME
1KFY_A	22.257032	27.367786	2	1kfy	A	a+b complex topology	NO_X_NAME
1KFY_A	22.257032	27.367786	2	1kfy	A	a/b three-layered sandwiches	Rossmann-like
1KFY_A	22.257032	27.367786	2	1kfy	A	alpha bundles	Spectrin repeat-like
1KFY_B	24.4171	-2.3710294	1	1kfy	B	a+b two layers	beta-Grasp
1KFY_B	24.4171	-2.3710294	1	1kfy	B	alpha arrays	alpha-helical ferredoxin-like
1KFY_C	-25.786701	8.654335	8	1kfy	C	alpha bundles	NO_X_NAME
1KFY_D	-45.114796	10.305647	8	1kfy	D	alpha bundles	NO_X_NAME
1KFY_M	21.789013	27.705786	2	1kfy	M	a+b complex topology	NO_X_NAME
1KFY_M	21.789013	27.705786	2	1kfy	M	a/b three-layered sandwiches	Rossmann-like
1KFY_M	21.789013	27.705786	2	1kfy	M	alpha bundles	Spectrin repeat-like
1KFY_N	24.992	-2.6506228	1	1kfy	N	a+b two layers	beta-Grasp
1KFY_N	24.992	-2.6506228	1	1kfy	N	alpha arrays	alpha-helical ferredoxin-like
1KFY_O	-25.078386	7.3494015	8	1kfy	O	alpha bundles	NO_X_NAME
1KFY_P	-44.00428	9.65911	8	1kfy	P	alpha bundles	NO_X_NAME
1KR2_A	13.414322	-15.522597	1	1kr2	A	a/b three-layered sandwiches	HUP domain-like
1KR2_B	13.9432125	-15.482222	1	1kr2	B	a/b three-layered sandwiches	HUP domain-like
1KR2_C	13.537427	-15.6788	1	1kr2	C	a/b three-layered sandwiches	HUP domain-like
1KR2_D	13.942753	-15.455615	1	1kr2	D	a/b three-layered sandwiches	HUP domain-like
1KR2_E	13.195186	-15.156535	1	1kr2	E	a/b three-layered sandwiches	HUP domain-like
1KR2_F	13.274816	-15.189845	1	1kr2	F	a/b three-layered sandwiches	HUP domain-like
1L0V_A	23.201635	27.385708	2	1l0v	A	a+b complex topology	NO_X_NAME
1L0V_A	23.201635	27.385708	2	1l0v	A	a/b three-layered sandwiches	Rossmann-like
1L0V_A	23.201635	27.385708	2	1l0v	A	alpha bundles	Spectrin repeat-like
1L0V_B	24.815964	-1.9551011	1	1l0v	B	a+b two layers	beta-Grasp
1L0V_B	24.815964	-1.9551011	1	1l0v	B	alpha arrays	alpha-helical ferredoxin-like
1L0V_C	-26.236284	8.873514	8	1l0v	C	alpha bundles	NO_X_NAME
1L0V_D	-44.089134	10.595885	8	1l0v	D	alpha bundles	NO_X_NAME
1L0V_M	21.430632	25.758022	2	1l0v	M	a+b complex topology	NO_X_NAME
1L0V_M	21.430632	25.758022	2	1l0v	M	a/b three-layered sandwiches	Rossmann-like
1L0V_M	21.430632	25.758022	2	1l0v	M	alpha bundles	Spectrin repeat-like
1L0V_N	25.36942	-2.2386627	1	1l0v	N	a+b two layers	beta-Grasp
1L0V_N	25.36942	-2.2386627	1	1l0v	N	alpha arrays	alpha-helical ferredoxin-like
1L0V_O	-26.757235	9.256006	8	1l0v	O	alpha bundles	NO_X_NAME
1L0V_P	-43.39289	10.678429	8	1l0v	P	alpha bundles	NO_X_NAME
1LEE_A	1.7659646	2.11248	2	1lee	A	beta barrels	cradle loop barrel
1LRT_A	28.375114	26.935028	2	1lrt	A	a/b barrels	TIM beta/alpha-barrel
1LRT_B	28.833712	25.3948	1	1lrt	B	a/b barrels	TIM beta/alpha-barrel
1LRT_C	28.828983	25.412748	1	1lrt	C	a/b barrels	TIM beta/alpha-barrel
1LRT_D	28.393644	26.859812	2	1lrt	D	a/b barrels	TIM beta/alpha-barrel
1LV0_A	18.268373	-16.061268	1	1lv0	A	a/b three-layered sandwiches	Rossmann-like
1LV0_A	18.268373	-16.061268	1	1lv0	A	a+b two layers	"""FAD-linked reductases, C-terminal domain-like"""
1M7X_A	31.705605	3.3874044	1	1m7x	A	a/b barrels	TIM beta/alpha-barrel
1M7X_A	31.705605	3.3874044	1	1m7x	A	beta sandwiches	Glycosyl hydrolase domain-like
1M7X_A	31.705605	3.3874044	1	1m7x	A	beta sandwiches	Immunoglobulin-like beta-sandwich
1M7X_B	33.14446	3.4105237	1	1m7x	B	a/b barrels	TIM beta/alpha-barrel
1M7X_B	33.14446	3.4105237	1	1m7x	B	beta sandwiches	Glycosyl hydrolase domain-like
1M7X_B	33.14446	3.4105237	1	1m7x	B	beta sandwiches	Immunoglobulin-like beta-sandwich
1M7X_C	33.30515	4.157255	1	1m7x	C	a/b barrels	TIM beta/alpha-barrel
1M7X_C	33.30515	4.157255	1	1m7x	C	beta sandwiches	Glycosyl hydrolase domain-like
1M7X_C	33.30515	4.157255	1	1m7x	C	beta sandwiches	Immunoglobulin-like beta-sandwich
1M7X_D	33.25221	3.959534	1	1m7x	D	a/b barrels	TIM beta/alpha-barrel
1M7X_D	33.25221	3.959534	1	1m7x	D	beta sandwiches	Glycosyl hydrolase domain-like
1M7X_D	33.25221	3.959534	1	1m7x	D	beta sandwiches	Immunoglobulin-like beta-sandwich
1MSN_A	-48.88002	5.206675	3	1msn	A	beta barrels	cradle loop barrel
1MSN_B	-48.759327	5.8441434	3	1msn	B	beta barrels	cradle loop barrel
1MZV_A	12.533777	14.498894	2	1mzv	A	a/b three-layered sandwiches	NO_X_NAME
1NEK_A	17.849085	33.888443	2	1nek	A	a+b complex topology	NO_X_NAME
1NEK_A	17.849085	33.888443	2	1nek	A	a/b three-layered sandwiches	Rossmann-like
1NEK_A	17.849085	33.888443	2	1nek	A	alpha bundles	Spectrin repeat-like
1NEK_B	32.46488	-11.537999	1	1nek	B	a+b two layers	beta-Grasp
1NEK_B	32.46488	-11.537999	1	1nek	B	alpha arrays	alpha-helical ferredoxin-like
1NEK_C	-31.294838	8.993336	8	1nek	C	alpha bundles	NO_X_NAME
1NEK_D	-40.94917	-0.12766753	8	1nek	D	alpha bundles	NO_X_NAME
1NEN_A	17.695288	33.867905	2	1nen	A	a+b complex topology	NO_X_NAME
1NEN_A	17.695288	33.867905	2	1nen	A	a/b three-layered sandwiches	Rossmann-like
1NEN_A	17.695288	33.867905	2	1nen	A	alpha bundles	Spectrin repeat-like
1NEN_B	32.255207	-11.733887	1	1nen	B	a+b two layers	beta-Grasp
1NEN_B	32.255207	-11.733887	1	1nen	B	alpha arrays	alpha-helical ferredoxin-like
